Top_HTC,Bottom_HTC,Ramp1,Hold1,Ramp2,Exotherm,Lag
100,100,1,105,1,1.819675,2.9699058
100,100,1,110,1,1.729033,2.9699058
100,100,1,115,1,1.622629,2.9699058
100,100,1,120,1,1.500709,2.9699058
100,100,1,125,1,1.363232,2.9699058
100,100,1,105,2,6.284594,5.904074
100,100,1,110,2,5.734398,5.735239
100,100,1,115,2,5.095567,5.504218
100,100,1,120,2,4.387205,5.210427
100,100,1,125,2,3.648155,4.891248
100,100,1,105,3,8.935567,8.920819
100,100,1,110,3,8.244894,8.707469
100,100,1,115,3,7.380587,8.428109
100,100,1,120,3,6.341022,8.084725
100,100,1,125,3,5.190913,7.719101
100,100,1,105,4,10.087872,11.905809
100,100,1,110,4,9.38826,11.648672
100,100,1,115,4,8.476858,11.321288
100,100,1,120,4,7.339657,10.924328
100,100,1,125,4,6.016368,10.510743
100,100,1,105,5,10.64464,14.85828
100,100,1,110,5,9.958517,14.558133
100,100,1,115,5,9.045005,14.178094
100,100,1,120,5,7.874564,13.726923
100,100,1,125,5,6.47494,13.265814
100,100,2,105,1,1.863255,5.9713266
100,100,2,110,1,1.783102,5.9713266
100,100,2,115,1,1.688903,5.9713266
100,100,2,120,1,1.579593,5.9713266
100,100,2,125,1,1.454664,5.9713266
100,100,2,105,2,6.511046,5.9713293
100,100,2,110,2,6.016204,5.9713293
100,100,2,115,2,5.432531,5.9713293
100,100,2,120,2,4.772285,5.9713293
100,100,2,125,2,4.058421,5.9713293
100,100,2,105,3,9.196479,8.940909
100,100,2,110,3,8.589808,8.737596
100,100,2,115,3,7.824777,8.468889
100,100,2,120,3,6.883649,8.126536
100,100,2,125,3,5.804071,7.729683
100,100,2,105,4,10.334894,11.930294
100,100,2,110,4,9.730755,11.685783
100,100,2,115,4,8.938087,11.368682
100,100,2,120,4,7.928677,10.972453
100,100,2,125,4,6.71487,10.521634
100,100,2,105,5,10.892514,14.889237
100,100,2,110,5,10.296518,14.60071
100,100,2,115,5,9.506173,14.233839
100,100,2,120,5,8.478504,13.780003
100,100,2,125,5,7.211795,13.277765
100,100,3,105,1,1.878668,8.9810769
100,100,3,110,1,1.802742,8.9835888
100,100,3,115,1,1.712859,8.983612
100,100,3,120,1,1.608008,8.983612
100,100,3,125,1,1.488177,8.983612
100,100,3,105,2,6.591039,8.9818143
100,100,3,110,2,6.116146,8.9836181
100,100,3,115,2,5.558478,8.9836181
100,100,3,120,2,4.914455,8.9836181
100,100,3,125,2,4.214932,8.9836181
100,100,3,105,3,9.287054,8.9818143
100,100,3,110,3,8.71127,8.9835888
100,100,3,115,3,7.985076,8.9835888
100,100,3,120,3,7.081405,8.9835888
100,100,3,125,3,6.030249,8.9835888
100,100,3,105,4,10.421506,11.90010367
100,100,3,110,4,9.848911,11.698485
100,100,3,115,4,9.101922,11.16414933
100,100,3,120,4,8.137362,10.95355367
100,100,3,125,4,6.969266,10.533795
100,100,3,105,5,10.973206,14.85038933
100,100,3,110,5,10.410677,14.616579
100,100,3,115,5,9.665722,13.97474167
100,100,3,120,5,8.69063,13.75542133
100,100,3,125,5,7.47713,13.290143
100,100,4,105,1,1.887166,11.9676356
100,100,4,110,1,1.812598,11.981735
100,100,4,115,1,1.725654,11.995053
100,100,4,120,1,1.623504,11.999915
100,100,4,125,1,1.506649,11.999915
100,100,4,105,2,6.634624,11.9656348
100,100,4,110,2,6.170693,11.9832494
100,100,4,115,2,5.621767,11.994162
100,100,4,120,2,4.991376,11.999961
100,100,4,125,2,4.297483,11.999961
100,100,4,105,3,9.334429,11.9676356
100,100,4,110,3,8.770974,11.984706
100,100,4,115,3,8.066152,11.995053
100,100,4,120,3,7.185241,11.999784
100,100,4,125,3,6.156625,11.999919
100,100,4,105,4,10.47113,11.9656348
100,100,4,110,4,9.909807,11.984706
100,100,4,115,4,9.182121,11.995053
100,100,4,120,4,8.250457,11.999961
100,100,4,125,4,7.105864,11.999961
100,100,4,105,5,11.01734,14.905661
100,100,4,110,5,10.470741,14.623861
100,100,4,115,5,9.744039,14.265163
100,100,4,120,5,8.801355,13.817536
100,100,4,125,5,7.618299,13.300335
100,100,5,105,1,1.892083,14.8941133
100,100,5,110,1,1.8194,14.9332781
100,100,5,115,1,1.73371,14.9687484
100,100,5,120,1,1.633571,14.992576
100,100,5,125,1,1.518519,15.008451
100,100,5,105,2,6.662116,14.8994173
100,100,5,110,2,6.205645,14.9376625
100,100,5,115,2,5.663886,14.9721325
100,100,5,120,2,5.0403,14.992576
100,100,5,125,2,4.354735,15.009819
100,100,5,105,3,9.363395,14.9046017
100,100,5,110,3,8.816175,14.9376625
100,100,5,115,3,8.11927,14.9721325
100,100,5,120,3,7.252074,14.995016
100,100,5,125,3,6.234333,15.008451
100,100,5,105,4,10.499257,14.8994173
100,100,5,110,4,9.950257,14.9419358
100,100,5,115,4,9.235368,14.9687484
100,100,5,120,4,8.321233,14.995016
100,100,5,125,4,7.19357,15.008451
100,100,5,105,5,11.045185,14.909302
100,100,5,110,5,10.50879,14.9419358
100,100,5,115,5,9.80074,14.9687484
100,100,5,120,5,8.875565,14.995016
100,100,5,125,5,7.709096,15.008451
100,30,1,105,1,2.503295,5.8984927
100,30,1,110,1,2.348126,5.8984927
100,30,1,115,1,2.171211,5.8984927
100,30,1,120,1,1.97262,5.8984927
100,30,1,125,1,1.798911,5.8984927
100,30,1,105,2,8.593274,10.583941
100,30,1,110,2,7.802116,10.143653
100,30,1,115,2,6.861676,9.579599
100,30,1,120,2,5.797743,8.894816
100,30,1,125,2,4.680073,8.176572
100,30,1,105,3,11.098368,15.835407
100,30,1,110,3,10.193778,15.272875
100,30,1,115,3,9.061835,14.572262
100,30,1,120,3,7.700135,13.741544
100,30,1,125,3,6.181046,12.895921
100,30,1,105,4,12.041532,20.939492
100,30,1,110,4,11.124804,20.254172
100,30,1,115,4,9.957239,19.416508
100,30,1,120,4,8.522271,18.449283
100,30,1,125,4,6.870524,17.483975
100,30,1,105,5,12.470802,25.903773
100,30,1,110,5,11.559532,25.096937
100,30,1,115,5,10.393159,24.128253
100,30,1,120,5,8.936324,23.026494
100,30,1,125,5,7.232338,21.899777
100,30,2,105,1,2.582297,11.7705022
100,30,2,110,1,2.443835,11.7705073
100,30,2,115,1,2.284258,11.7705073
100,30,2,120,1,2.103581,11.7705073
100,30,2,125,1,1.900069,11.7705073
100,30,2,105,2,8.923682,11.7705073
100,30,2,110,2,8.223363,11.7705073
100,30,2,115,2,7.375556,11.7705073
100,30,2,120,2,6.392043,11.7705073
100,30,2,125,2,5.312551,11.7705073
100,30,2,105,3,11.450027,15.891979
100,30,2,110,3,10.659561,15.352573
100,30,2,115,3,9.664998,14.675045
100,30,2,120,3,8.442408,13.847151
100,30,2,125,3,7.023764,12.917868
100,30,2,105,4,12.388207,21.008021
100,30,2,110,4,11.595091,20.351889
100,30,2,115,4,10.578629,19.541179
100,30,2,120,4,9.306941,18.569559
100,30,2,125,4,7.788077,17.503673
100,30,2,105,5,12.817126,25.986883
100,30,2,110,5,12.028541,25.210438
100,30,2,115,5,11.016192,24.268905
100,30,2,120,5,9.736842,23.160215
100,30,2,125,5,8.184352,21.9617
100,30,3,105,1,2.613474,17.5674338
100,30,3,110,1,2.481769,17.5873302
100,30,3,115,1,2.329491,17.5921712
100,30,3,120,1,2.15575,17.5921712
100,30,3,125,1,1.960384,17.5921712
100,30,3,105,2,9.049106,17.5712455
100,30,3,110,2,8.383413,17.5873302
100,30,3,115,2,7.579157,17.5921712
100,30,3,120,2,6.628886,17.5921712
100,30,3,125,2,5.572679,17.5921712
100,30,3,105,3,11.582608,17.5712455
100,30,3,110,3,10.835793,17.5873302
100,30,3,115,3,9.898637,17.5921712
100,30,3,120,3,8.730163,17.5921712
100,30,3,125,3,7.36192,17.5921712
100,30,3,105,4,12.514933,20.99705767
100,30,3,110,4,11.770209,20.389422
100,30,3,115,4,10.816414,19.36928233
100,30,3,120,4,9.607052,18.58692767
100,30,3,125,4,8.152766,17.5921384
100,30,3,105,5,12.942498,25.96949533
100,30,3,110,5,12.207138,25.255367
100,30,3,115,5,11.255016,24.04966667
100,30,3,120,5,10.041378,23.17662333
100,30,3,125,5,8.55804,21.997906
100,30,4,105,1,2.631181,23.0486426
100,30,4,110,1,2.503387,23.1343028
100,30,4,115,1,2.35464,23.225601
100,30,4,120,1,2.185518,23.2850716
100,30,4,125,1,1.995978,23.326801
100,30,4,105,2,9.119415,23.0366727
100,30,4,110,2,8.474018,23.1438143
100,30,4,115,2,7.690236,23.2184664
100,30,4,120,2,6.764655,23.2898701
100,30,4,125,2,5.72542,23.326801
100,30,4,105,3,11.655568,23.0486426
100,30,4,110,3,10.937051,23.1530733
100,30,4,115,3,10.024546,23.225601
100,30,4,120,3,8.894532,23.2800686
100,30,4,125,3,7.556366,23.326801
100,30,4,105,4,12.591622,23.0366727
100,30,4,110,4,11.870415,23.1530733
100,30,4,115,4,10.941614,23.225601
100,30,4,120,4,9.776905,23.2898701
100,30,4,125,4,8.358997,23.324004
100,30,4,105,5,13.014999,26.036734
100,30,4,110,5,12.303492,25.280749
100,30,4,115,5,11.383826,24.357607
100,30,4,120,5,10.214363,23.2898701
100,30,4,125,5,8.774251,23.324004
100,30,5,105,1,2.64237,27.9712789
100,30,5,110,1,2.517808,28.2180264
